,token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size
18305,84191,FINNIFTY27DEC2214900CE,FINNIFTY,27DEC2022,1490000.000000,40,OPTIDX,NFO,5.000000
18306,44476,FINNIFTY13DEC2218300CE,FINNIFTY,13DEC2022,1830000.000000,40,OPTIDX,NFO,5.000000
18312,40024,FINNIFTY06DEC2217000PE,FINNIFTY,06DEC2022,1700000.000000,40,OPTIDX,NFO,5.000000
18318,55794,NIFTY25JAN2316950PE,NIFTY,25JAN2023,1695000.000000,50,OPTIDX,NFO,5.000000
18329,51471,FINNIFTY15NOV2221300CE,FINNIFTY,15NOV2022,2130000.000000,40,OPTIDX,NFO,5.000000
18336,44455,FINNIFTY13DEC2217800PE,FINNIFTY,13DEC2022,1780000.000000,40,OPTIDX,NFO,5.000000
18339,40301,MIDCPNIFTY29NOV226650PE,MIDCPNIFTY,29NOV2022,665000.000000,75,OPTIDX,NFO,5.000000
18340,51407,FINNIFTY15NOV2219400CE,FINNIFTY,15NOV2022,1940000.000000,40,OPTIDX,NFO,5.000000
18344,45069,MIDCPNIFTY07NOV225050PE,MIDCPNIFTY,07NOV2022,505000.000000,75,OPTIDX,NFO,5.000000
18350,60942,NIFTY24NOV2215150CE,NIFTY,24NOV2022,1515000.000000,50,OPTIDX,NFO,5.000000
18352,40372,MIDCPNIFTY29NOV227300PE,MIDCPNIFTY,29NOV2022,730000.000000,75,OPTIDX,NFO,5.000000
18353,42984,NIFTY08DEC2219850PE,NIFTY,08DEC2022,1985000.000000,50,OPTIDX,NFO,5.000000
18357,84187,FINNIFTY27DEC2214700CE,FINNIFTY,27DEC2022,1470000.000000,40,OPTIDX,NFO,5.000000
18363,48497,NIFTY10NOV2219650PE,NIFTY,10NOV2022,1965000.000000,50,OPTIDX,NFO,5.000000
18367,39827,FINNIFTY29NOV2218900CE,FINNIFTY,29NOV2022,1890000.000000,40,OPTIDX,NFO,5.000000
18371,84324,FINNIFTY27DEC2221000PE,FINNIFTY,27DEC2022,2100000.000000,40,OPTIDX,NFO,5.000000
18374,39109,BANKNIFTY01DEC2235000CE,BANKNIFTY,01DEC2022,3500000.000000,25,OPTIDX,NFO,5.000000
18376,49458,BANKNIFTY03NOV2240800PE,BANKNIFTY,03NOV2022,4080000.000000,25,OPTIDX,NFO,5.000000
18377,68620,MIDCPNIFTY22NOV228000CE,MIDCPNIFTY,22NOV2022,800000.000000,75,OPTIDX,NFO,5.000000
18383,55115,NIFTY27JUN2418000CE,NIFTY,27JUN2024,1800000.000000,50,OPTIDX,NFO,5.000000
18390,49227,BANKNIFTY03NOV2237300CE,BANKNIFTY,03NOV2022,3730000.000000,25,OPTIDX,NFO,5.000000
18391,44321,FINNIFTY13DEC2214200CE,FINNIFTY,13DEC2022,1420000.000000,40,OPTIDX,NFO,5.000000
18392,42707,NIFTY29DEC2213100PE,NIFTY,29DEC2022,1310000.000000,50,OPTIDX,NFO,5.000000
18402,45441,MIDCPNIFTY07NOV228150CE,MIDCPNIFTY,07NOV2022,815000.000000,75,OPTIDX,NFO,5.000000
18406,84095,FINNIFTY27DEC2213300PE,FINNIFTY,27DEC2022,1330000.000000,40,OPTIDX,NFO,5.000000
18411,84507,MIDCPNIFTY27DEC225600CE,MIDCPNIFTY,27DEC2022,560000.000000,75,OPTIDX,NFO,5.000000
18413,40560,MIDCPNIFTY29NOV228900CE,MIDCPNIFTY,29NOV2022,890000.000000,75,OPTIDX,NFO,5.000000
